Token_ID_Greek,Token_Greek,Gospel,Token_ID_Armenian,Token_Armenian,Function,comment,Location,Greek_found,Armenian_found,where_found
359422.0,ἄλλον,JOHN,,,UNID,,20.2,1,0,only_Gr
359903.0,ἄλλοι,JOHN,816527.0,aył,UNID,,20.25,1,1,both_langs
360016.0,ἀλλὰ,JOHN,816625.0,aył,SUBST,,20.27,1,1,both_langs
359453.0,ἄλλος,JOHN,,,UNID,,20.3,1,0,only_Gr
360055.0,ἄλλα,JOHN,816660.0,áyl,UNID,,20.30,1,1,both_langs
,,JOHN,816677.0,aył,ADVER,,20.31,0,1,only_Arm
359470.0,ἄλλος,JOHN,,,UNID,,20.4,1,0,only_Gr
359529.0,ἀλλὰ,JOHN,,,SUBST,,20.7,1,0,only_Gr
359541.0,ἄλλος,JOHN,,,UNID,,20.8,1,0,only_Gr
360559.0,ἄλλος,JOHN,817132.0,aylkʻ,UNID,,21.18,1,1,both_langs
360137.0,ἄλλοι,JOHN,858553.0,áylkʻ,UNID,,21.2,1,1,both_langs
360679.0,ἀλλ’,JOHN,817247.0,aył,SUBST,,21.23,1,1,both_langs
,,JOHN,817281.0,áyl,UNID,more,21.25,0,1,only_Arm
344231.0,ἀλλ’,JOHN,802224.0,ayl,SUBST,,3.16,1,1,both_langs
344251.0,ἀλλ’,JOHN,802243.0,aył,SUBST,,3.17,1,1,both_langs
344488.0,ἀλλ’,JOHN,802450.0,aył,ADVER,(like SUBST),3.28,1,1,both_langs
344641.0,ἀλλ’,JOHN,,,SUBST,CA has ayl,3.36,1,0,only_Gr
344073.0,ἀλλ’,JOHN,851321.0,ayl,ADVER,good concession,3.8,1,1,both_langs
344913.0,ἀλλὰ,JOHN,852711.0,ayl,SUBST,,4.14,1,1,both_langs
344674.0,ἀλλ’,JOHN,852467.0,ayl,SUBST,,4.2,1,1,both_langs
345084.0,ἀλλὰ,JOHN,803019.0,Aył,ADVER,?,4.23,1,1,both_langs
345373.0,ἄλλοι,JOHN,803307.0,aylkʻ,UNID,,4.38,1,1,both_langs
,,JOHN,803419.0,Aył,ADVER,"then (when…)', Greek te it seems",4.45,0,1,only_Arm
346025.0,ἀλλὰ,JOHN,853199.0,ayl,SUBST,ew,5.18,1,1,both_langs
346132.0,ἀλλὰ,JOHN,804026.0,aył,ADVER,except/ but,5.22,1,1,both_langs
346187.0,ἀλλὰ,JOHN,804087.0,aył,SUBST,??,5.24,1,1,both_langs
346336.0,ἄλλος,JOHN,804224.0,áyl,UNID,,5.32,1,1,both_langs
,,JOHN,853260.0,Aył,ADVER,,5.36,0,1,only_Arm
346515.0,ἀλλὰ,JOHN,804407.0,aył,SUBST,,5.42,1,1,both_langs
346543.0,ἄλλος,JOHN,804432.0,ayl,UNID,,5.43,1,1,both_langs
345826.0,ἄλλος,JOHN,853131.0,áyl,UNID,,5.7,1,1,both_langs
,,JOHN,858876.0,ayl,UNID,,6.22,0,1,only_Arm
347034.0,ἄλλα,JOHN,858942.0,áyl,UNID,,6.23,1,1,both_langs
347112.0,ἀλλ’,JOHN,804963.0,aył,SUBST,,6.26,1,1,both_langs
347128.0,ἀλλὰ,JOHN,804978.0,aył,SUBST,,6.27,1,1,both_langs
347250.0,ἀλλ’,JOHN,805081.0,ayl,SUBST,,6.32,1,1,both_langs
347326.0,ἀλλ’,JOHN,805144.0,Ayl,ADVER,,6.36,1,1,both_langs
